class,title_text,Predicted_Sentiment
1,US budget fight looms Republicans flip fiscal script Id responded going,negative
1,US military accept transgender recruits Monday Pentagon Sooo SAD miss San Diego,negative
1,Senior US Republican senator Let Mr Mueller job boss bullying,neutral
1,FBI Russia probe helped Australian diplomat tipoff NYT interview leave alone,negative
1,Trump wants Postal Service charge much Amazon shipments Sons couldnt put releases already bought,negative
1,White House Congress prepare talks spending immigration httpwwwdothebouncycomsmf shameless plugging best Rangers forum earth,neutral
1,Trump says Russia probe fair timeline unclear NYT  feedings baby fun smiles coos,positive
1,Factbox Trump Twitter Dec  Approval rating Amazon Soooo high,neutral
1,Trump Twitter Dec  Global Warming,neutral
1,Alabama official certify Senatorelect Jones today despite challenge CNN Journey Wow u became cooler hehe possible,positive
1,Jones certified US Senate winner despite Moore challenge much love hopeful reckon chances minimal P im never gonna get cake stuff,neutral
1,New York governor questions constitutionality federal tax overhaul really really like song Love Story Taylor Swift,positive
1,Factbox Trump Twitter Dec  Vanity Fair Hillary Clinton Sharpie running DANGERously low ink,neutral
1,Trump Twitter Dec  Trump Iraq Syria want go music tonight lost voice,neutral
1,Man says delivered manure Mnuchin protest new US tax law test test LG ,neutral
1,Virginia officials postpone lottery drawing decide tied statehouse election Uh oh sunburned,negative
1,US lawmakers question businessman  Trump Tower meeting sources Sok trying plot alternatives speak sigh,neutral
1,Trump Twitter Dec  Hillary Clinton Tax Cut Bill ive sick past days thus hair looks wierd didnt hat would look ,neutral
1,US appeals court rejects challenge Trump voter fraud panel back home gonna miss every one,negative
1,Treasury Secretary Mnuchin sent giftwrapped box horse manure reports Hes,neutral
1,Federal judge partially lifts Trumps latest refugee restrictions oh Marly Im sorry hope find soon  ,neutral
1,Exclusive US memo weakens guidelines protecting immigrant children court Playing Ghost Online really interesting new updates Kirin pet Metamorph third job Cant wait dragon pet,neutral
1,Trump travel ban apply people strong US ties court cleaning house family comming later today,neutral
1,Second court rejects Trump bid stop transgender military recruits gotta restart computer thought  supposed put end constant rebootiness,negative
1,Failed vote oust president shakes Perus politics SEe waT Mean bOuT  fRiiDaYs cALLed LoSe  FridAy smH,negative
1,Trump signs tax government spending bills law free fillin app ipod fun im addicted,positive
1,Companies year new US tax bill reporting SEC Im sorry,negative
1,Trump Twitter Dec  Tax cut Missile defense bill way Malaysiano internet access Twit,negative
1,Mexico review need tax changes US reformdocument juss came backk Berkeleyy omg madd fun havent minute whassqoodd,negative
1,Senate leader McConnell sees collegial  Went sleep power cut Noida Power back working,neutral
1,Alabama certify Democrat Jones winner Senate election Im going home seen new twitter design Quiteheavenly,neutral
1,McConnell happier Trump tweets tax victory hope unni make audition fighting dahye unni,positive
1,House panel asks Trump extop aide Bannon testify Bloomberg consolation got BMI tested hahaha says obesed well much unhappy  minutes,neutral
1,Callista Gingrich becomes Trumps envoy pope differences mount Thats funny Cute kids,positive
1,Republicans aim ride economy election victory warning voters key district Ahhh slept game Im gonna try best watch tomorrow though hope play Army,positive
1,Exclusive State Department tells refugee agencies downsize US operations Thats end Tears Fears vs Eric Prydz DJ Hero ,neutral
1,Congress votes avert shutdown sends Trump stopgap spending bill Born raised NYC living Texas past  years still miss NY,neutral
1,Factbox Bigticket items center Congress spending bill case wonder really busy today coming adding tons new blogs updates stay tuned,neutral
1,victory Trump judge tosses suit foreign payments im soooooo sleeeeepy last day school todaysniffle,neutral
1,Senate shelves disaster aid bill next month little happy wine jeje ok itsm free time cares jaja love day,positive
1,Trump Twitter Dec  Tax Cuts Home sales Car happy big big dent boot Hoping theyre going write crossing fingers waiting,neutral
1,House widens ethics probe include Farenthold campaign work im avid fan magazine love magazines,positive
1,US court rejects Trump bid stop transgender military recruits Jan  MAYDAY,negative
1,US House approves  billion disaster aid RATT ROCKED NASHVILLE TONITEONE THING SUCKED ENCORE LIKE  STILL FUN SHOW PEARCY HOTT BAD BOY LOOK,neutral
1,House Democrats rally protect Special Counsel Mueller love Im available  dear Would love help convert vids,positive
1,Second US judge blocks Trump administration birth control rules girl hair salon asked Shall trim eyebrows old feel,neutral
1,Senators seek stop expansion airport facial scans egh blah boooooooooooo dunno wanna go work HANGOVERS SUCKKKKKK Im drunk mess,negative
1,US launches effort reduce reliance imports critical minerals visiting friendster facebook,neutral
1,Shortterm government funding disaster aid bills advance House donbt like peel prawns also dont like going shopping running money crawling round car looking,negative
1,Spy chiefs pressure Congress renew expiring surveillance law case got new one last week Im thrilled mine,neutral
1,Trump urges Congress pass shortterm spending bill check httptwittersuckscom connect tweeple hate twitter,negative
1,House gives final approval tax bill delivering victory Trump also bored school third freelesson freistunde,neutral
1,US tax plan roils popular bet bond market hm us guess,neutral
1,US lawmakers seek temporary extension internet spying program u dissappointed past days,negative
1,Trump commutes fraud sentence kosher meatpacker romance zero funny,positive
1,US responds court fight illegal Indonesian immigrants Id rather early runbut morning runner,negative
1,Democrat Franken leave Senate January  Bah coworker ran work late bag smacked knee really hurts,negative
1,US lawmakers seek temporarily extension internet spying program back later ,negative
1,Top Democrat says Trump firing Mueller could provoke constitutional crisis Aw Torn ace hearts Hunchback,neutral
1,US tax bill may face lawsuits long odds political payoffs fun speaking,negative
1,Vote Senate Dreamers hinges bipartisan pact McConnell lost friends im alone sleepyi wanna go home,negative
1,White House says tax bill hurt Puerto Rico haha yes,neutral
1,Democrats plan use tax bill attack Republicans midterms give easily,neutral
1,ruling Virginia legislatures majority chosen lot better way spoil mum let kick back relax nice meal bottle favorite wine wine red,positive
1,Fight Alaska Arctic drilling begun opponents vow mannnn got iphone im jealous httpbitlyNgnaR,negative
1,Senator Cornyn trying get Big Corn behind US biofuels reform photoshoot,neutral
1,Georgia battle Staceys tests Democrats future Hes awesome worked Hes good friend,positive
1,Democrat wins one vote Virginia legislative election recount Yay playing show tonight Boo gonna soggy Im work right playing,neutral
1,FBI deputy director sit closed interview House panels Chilliin,negative
1,White House expects Congress waive spending cuts triggered tax overhaul know agent let know,neutral
1,Trump Twitter Dec  Tax Bill still smell smoke kitchenfire,neutral
1,Whats final Republican tax bill celticslakers rematch sounds better dont think lol,neutral
1,Trump Market fully digested tax cut changes Anyone extra Keane ticket promise buy drink take rad pics FB Blog Flickr etc,neutral
1,White House aide sees temporary funding fix childrens health program ride one catch one summer til pop open one,neutral
1,Tax bills passthrough rule aid wealthy workers critics good gorjuz yea kno asked yesterday tha hospital talked u said,negative
1,US tax cuts make housing affordable analysts OK Im popped say Hi check things Ill probably head guttah later tonight,neutral
1,Banks healthcare service firms among winners US tax bill WOW REALLY MiSSiN FAMiLY TODAY BADDD,neutral
1,Trumps Supreme Court appointee Gorsuch plots rightward course sources say,neutral
1,Republicans seek question FBI officials Clinton probe letter sooo tired,neutral
1,Trump aides hope win taxes stem slide poll numbers Hey change twitter account didnt even tell,neutral
1,Congress faces tricky path avoid government shutdown THANK YYYYYYYYYOOOOOOOOOOUUUUU,positive
1,Factbox Bigticket items center Congress funding battle lucky kidi wanna see loserville pity im oz,neutral
1,Senate parliamentarian rules tax bill provisions Sanders fell asleep waiting ride,neutral
1,Senate panel snubs Trumps pick run EXIM OKs nominees Sick flu like thing,negative
1,House likely need vote tax bill Republican leader Still reply SimFinger problem iRape parody video get response sorry guys,negative
1,Instant View House approves biggest tax overhaul  years Senate next Happy Star Wars day everyone Enjoy holiday UK,positive
1,Senate begins debate final Republican tax bill Miles Im Essex give plenty warning arrive time get least one free beers,negative
1,Bill could make Congress members liable harassment payouts snoring annoying n keeps sleeping like right lol honestly wud miss eva left love,negative
1,Green groups sue Trump administration delay methane rule miss bby wish going tomorrow make good,neutral
1,House Democratic leaders urging vote spending bill CNN reporter Well im working isnt QUITE ready post publicly still beta testing cool new script coded,neutral
1,Pence preside Senate tax bill vote office confirms SWEEEEET San Fran awesome Love,positive
1,Senate vote final tax bill Tuesday evening McConnell Mounce yes lasts way past bedtime,neutral
1,Republicans appear certain pass tax legislation Hi joined twitter,neutral
1,Court orders Trump administration give immigrant teens abortion access waiting sleeping pills kick gonna tired work tomorrow,negative
1,House plan would increase Trumps disaster aid request eating ice cream getting ready graduation,neutral
1,House panel chair introduces  billion disaster aid bill Happy Mothers day Mums,positive
1,Trump nominates Liberty University professor Justice Department post CASEYS GONE piddled little carpet Shes prolly freaked cause new get back,neutral
1,Trump Twitter Dec  Congressional Races train accident tax cuts hemp cloth marvelous unfortunately,negative
1,Trump Cabinet officials visit Puerto Rico assess recovery Gonna read story bout adam lambert online bed Nighty night,neutral
1,Dreamer immigration bill US Senate agenda month saw none  baddies best,neutral
1,Senator Warren hits effort politicize US consumer agency  Im beach Pretty,positive
1,Trump strategy document says Russia meddles domestic affairs worldwide Certainly Cheers huh,neutral
1,Republican Senator Collins says vote tax bill  week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces starting emerge hand Ouch,neutral
1,Democratic US senator seeks audit EPA chiefs trip Morocco realy wanted go cause nice everybodys busy,neutral
1,Republican Senator Lee says vote tax bill Awesome Im Ocean Beach know way YourBiggestFan Im real big fan,neutral
1,Trump US choice deal North Korea arms challenge least get watch time Lets go Pens,neutral
1,Trump judicial nominee withdraws consideration cool wear black time go,neutral
1,Trump calls US infrastructure plan train derailment haha know work blip apart obvious thanks reblipping song nice day,positive
1,Final Republican tax bill slashes US corporate rate voting next week safe trip joshy pooyoull knock dead speech,neutral
1,Factbox Whats final US Republican tax bill woof wish allowed go,neutral
1,Trump defends tax plan great Christmas gifts middle class u friendster add email adress add  add leave comment,neutral
1,House vote tax bill Tuesday afternoon aides tickets,neutral
1,White House optimistic Congress avoid government shutdown Thank Afrin Nasal Spray Also got giant teacup tonight,neutral
1,US taxpayers rush claim deductions threat tax bill ACSM unfathomable think one one kept comfort bedrooms yes,neutral
1,Republicans confident tax bill become law week Aww love daddy works  days week almost day still tries go SF us,neutral
1,Republican Senator John McCain leaves Washington expected tax vote many tests todayyy dont feel confident anyy,negative
1,Trump says considering firing US special counsel Mueller graduation done im little sad anyone want hang,neutral
1,Trump allies say Mueller unlawfully obtained thousands emails hahaa awesomee,positive
1,Senatorelect Jones joining calls Trump resignation holy smokes star trek freaking awesomeeeee,neutral
1,Trump administration bans selected words health agencies paper hate Fallout  keeps making jump Im also low health money ammo food dont worry Ill get,negative
1,Congressman seek relection amid misconduct probe itunes lost songs,negative
1,Trump say security speech China competitor officials Whats gloomy weather sun must tired come play heading victoria gardens impulse buys haha,neutral
1,Factbox Trump Twitter December  Quantico looking forward next week Maths Geography English French exams totalling  hours,neutral
1,Republican tax bill retains US electric vehicle tax credit Poor Get outside sleep garden sun good dont forget suncream,negative
1,Attorney General Sessions lukewarm praise FBI Trump attack well,positive
1,Senate Democrats force vote FCC net neutrality repeal prob hun,positive
1,US lawmaker probed sex reports second congressman denies charges dads watching mtv going  minutee,neutral
1,Republicans join push lift secrecy around misconduct Congress Absolutely,positive
1,Trump officials brief Hill staff Saudi reactors enrichment worry whats matter chickadee,positive
1,US judge lift house arrest former Trump campaign manager Manafort hey mia totally adore music cd,neutral
1,Republican Senator Corker says support tax bill Shopping Cleaning BMFing Webcam chatting nephews Nothing spesh good bank holiday Monday nonetheless,neutral
1,Rubio signals support tax bill child tax credit tweaks need ask something Lmao love,positive
1,US tax negotiators raising refundable portion child tax credit congresswoman splinters look painfulbut heroic saving mr Pickle,positive
1,Republicans finalized compromise US tax bill chief House tax writer sad,negative
1,Republican Senator Rubio back tax bill CNBC citing sources Nice see tweeting Sunday  May celebrating Mothers Day today nice yer Mom,positive
1,Exclusive Senator Cruz wants cap renewable fuel credits  cents document decided  trans frm relaxed  natural hair wish whole head looked like roots Age instant gratification,neutral
1,Trump administration issues new rules US visa waivers Namaskar Namaste r Marathi people say Namaskar marathi word naaaah,neutral
1,Trump urges Moore concede Alabama Senate race Congrats cuss like matter minutes didnt know reward,neutral
1,Net neutrality repeal gives Democrats fresh way reach millennials Humous Doritos Oh yes,positive
1,Republican tax vote nears senators waver missed awesome weather movie,negative
1,Factbox Trump Twitter December  Stock market federal regulations Today going normal day hope group pilots large airline come last night much drink,neutral
1,House committee questions head Trump campaign data firm sources kids terrible Good Evans Id call Childline,negative
1,Republican governors meet Pence NAFTA concerns Unfortunatley AerLingus longer fly Copenhagen fly Ryanair Billund drive Copenhagen one days,neutral
1,Factbox Provisions US Republicans final tax bill Whats sad actually google term sucks tho,neutral
1,House Speaker Ryan mulls retirement  elections Politico Hate fighting,negative
1,Republican Representative Farenthold seek reelection watched didnt want win put good fightlol,neutral
1,Alabama Senate race winner urges Republican rival move Carwarmed Sprite tastes like sore throat,negative
1,Fund managers seek stocks benefiting Democratic gains  US elections came  cross country beat dumbo,negative
1,Factbox Republicans keep eye Senate nears vote tax bill Candle wax enjoyable,neutral
1,Republican House Speaker Ryan told Trump retirement report rumors true White House Shes unassuming unpretentious Shes suppose thats shes endearingbecause relate,neutral
1,White House says work Rubio child tax credit tomorrow valerias lunch going get hair done im arraving late got cousins babtizm whatever spell,neutral
1,Republican Senator Lee undecided tax bill seeks child credit changes aide goooooddd morning tweets week three workout mention got new glasses yesterday,neutral
1,US tax bill preserve key renewable energy credits sources say hate computer much,negative
1,US bill allow property income sales tax deductions key lawmaker fine Going big walk today  miles,neutral
1,Senator McCain vote tax bill  Republican WANT RED CRUISERS dont like ones LMFAO,neutral
1,Nominee US EPA chemical safety withdraws Bloomberg Mmmmmmmm morning,neutral
1,Senators Burr Tillis oppose Trumps EPA nominee Dourson reports neither,neutral
1,Pence delays Middle East trip case needed US tax vote  hours work Sunday Boo find time two hour lunchbreak though Yeah,neutral
1,Kentucky lawmaker probable suicide amid sexual misconduct accusations Bugger forgot still washing machine,negative
1,Mulvaney says US tax bill votes could Tuesday Wednesday CNBC Laurie sending love blessings healing thoughts family peace,neutral
1,Donald Trump Jr wants leak probe Congress Russia probes press back hurtsreally bad,neutral
1,expect postcardsized tax return Republican plan experts ah yes know feeling,neutral
1,Republicans forge tax deal final votes seen next week Night cookers dad,neutral
1,Alabama win thrills Democrats Republicans point fingers modem offline week God bless  network Tim left May schedule brutal,positive
1,Trumps eldest son testifies Senate committee Russia probe Nope Coquitlam,negative
1,Republicans final tax bill parent teacher thing yesterday boring going skl saturday lol,neutral
1,Factbox US Republicans final tax bill lichfield tweetup sounds like fun Hope see everyone else,positive
1,Minnesota lieutenant governor replace Franken Senate Big booming thunder storm almost Maybe go home early Ah probably,neutral
1,Stopgap bill unveiled fund US government Jan  Bevvies  twngreat day,neutral
1,Senior justice official dismisses Republican charges bias Trump probe first night myers wout lydia im actually excited summer,neutral
1,Senator McCain treated side effects cancer therapy good morning,positive
1,Trump dossier firm Republicans leaked bank records retaliation best show EVER,positive
1,Two Trump judicial nominations rebuffed Senate URL previous post timer job  Id removed space messed URL ES,negative
1,US prepares open doors billiondollar London embassy think iv hurt tooth eilish cassie drawing competiton draw cookies pineapples haha L,neutral
1,elaborate hoax websites say NFL Redskins renamed Redhawks want know auditions Mander Text orreply please,neutral
1,Alabama upset Democrats see new prospects US South even NOOOOO SECRET NAMEREBECCA PLEASE,neutral
1,Schumer delay tax overhaul vote new Alabama senator seated miss neice cant wait see bad n grown Lol,neutral
1,Republican Senator Corker says still undecided tax bill need get computer fixed,neutral
1,Control Virginia state House stake recounts begin really hopes cars illness terminal,negative
1,Trump says would accept  percent corporate tax rate cool people want find following today English guess English dont tweet,neutral
1,House Senate reach deal US tax legislation Hatch siri woulda put honeybut dont,negative
1,US House stop using public funds harassment settlements speaker watched Xmen origins wolverine totally loved haha,neutral
1,US House Senate leaders reach agreement principle tax plan AP VOTED u personal myspace keep talking fakes  u helped thru hrdest time life x,neutral
1,White House aide Omarosa Manigault Newman resigns Im sad missed guys last night,negative
1,Analyst View Democrat Jones wins Alabama US Senate seat blow Trump Finally got call marriage counseling  days late,neutral
1,Top US Senate Democrat hopeful Congress help Dreamers year end ok,positive
1,Senator Gillibrand calls Trump Twitter post sexist smear  baby,neutral
1,Trump loses big bet Alabama US Senate race today last day high school ended going home sick stupid dead rats,negative
1,FBI officials said Clinton win race White House NYT impromptu pool party Except dont know swim cant get,neutral
